Age,Post HS?,Ever Married?,Gender,Hours per Week,50K?
61,0,1,Male,53,0
31,1,0,Female,46,0
54,1,1,Male,40,0
41,1,0,Male,40,0
18,0,0,Male,20,0
28,0,1,Male,40,0
23,1,0,Female,40,0
23,0,1,Female,35,0
55,1,1,Male,6,1
20,1,0,Female,40,0
24,0,0,Female,40,0
40,0,1,Female,32,0
37,1,1,Male,55,1
31,1,0,Male,43,0
22,1,0,Female,15,0
55,1,1,Male,40,1
58,0,1,Male,38,0
24,0,0,Female,20,0
39,0,1,Male,65,0
37,0,1,Male,40,0
44,1,0,Female,40,0
40,1,1,Male,40,0
58,1,1,Female,40,0
20,0,0,Female,30,0
73,0,1,Male,20,0
32,1,1,Male,50,0
55,1,1,Female,40,0
60,1,1,Female,35,0
60,0,1,Male,40,0
44,0,1,Female,40,0
28,1,0,Male,65,1
27,1,0,Male,50,0
39,1,1,Male,40,0
41,1,1,Female,25,0
49,1,1,Male,40,0
35,0,1,Male,50,0
51,0,1,Male,40,1
31,1,1,Male,40,1
51,1,1,Male,40,1
49,1,1,Male,26,1
30,1,1,Female,40,0
46,1,1,Male,60,1
21,1,0,Female,18,0
67,1,1,Male,10,1
19,0,0,Female,35,0
25,0,0,Male,45,0
18,0,0,Female,20,0
60,0,1,Female,40,0
52,1,1,Male,40,0
30,0,1,Male,40,0
30,1,1,Male,40,1
17,0,0,Female,12,0
54,1,1,Female,40,0
33,0,0,Female,40,0
30,1,1,Female,40,0
54,0,1,Male,50,0
68,1,1,Female,40,0
49,1,0,Female,40,0
64,1,1,Male,40,0
24,0,0,Male,40,0
22,1,0,Male,40,0
44,0,1,Male,40,0
20,1,0,Male,20,0
36,1,0,Male,40,0
41,1,1,Female,40,0
49,0,1,Male,40,0
41,1,1,Male,40,1
36,1,0,Female,40,0
37,0,0,Female,40,0
38,1,1,Male,52,0
26,1,0,Male,40,0
53,0,1,Male,38,0
35,1,0,Male,50,1
30,0,1,Female,40,0
27,0,1,Male,40,0
40,0,1,Male,40,1
56,0,1,Male,50,1
23,1,0,Female,35,0
27,0,0,Male,99,0
34,0,1,Male,50,0
27,0,0,Male,1,0
54,0,1,Male,60,0
17,0,0,Male,22,0
20,0,0,Male,40,0
43,1,1,Male,55,1
50,1,1,Male,80,1
65,0,1,Male,40,1
58,1,1,Female,40,0
32,1,1,Female,50,0
26,1,0,Female,40,0
30,1,1,Male,40,1
43,1,1,Female,50,0
35,1,1,Female,40,0
18,0,0,Male,40,0
48,1,1,Male,65,1
40,1,1,Male,40,1
28,1,1,Male,60,1
46,1,1,Male,40,1
25,0,0,Male,40,0
28,1,1,Male,70,1
